,District,Place,Male,Female,Total,Within_the_area,Outside_the_area,Outside_the_state,,,,,,,,,,,,,
,Total,2943,2727,3407,2524,3494,4385,3724,,,,,,,,,,,,,
5,BIDAR,Male,958,1164,1046,947,939,1151,,,,,,,,,,,,,
,Female,844,1107,955,865,838,1083,1332,,,,,,,,,,,,,
,Total,1802,2271,2001,1812,1777,2234,2691,,,,,,,,,,,,,
6,RAICHUR,Male,1138,1217,1426,1388,1201,1302,,,,,,,,,,,,,
,Female,1165,1014,1344,1169,995,1152,1027,,,,,,,,,,,,,
,Total,2303,2231,2770,2557,2196,2454,2124,,,,,,,,,,,,,
7,KOPPALA,Male,1010,1078,1182,1305,943,1221,,,,,URBAN,,,,,,,,
,Female,927,915,1046,935,845,1150,770,,,,Number of Live Births Registration,,,,,,,,,
,Total,1937,1993,2228,2240,1788,2371,1600,,,,,Delayed Registration,,,,,,,,
8,GADAG,Male,752,775,858,748,908,1100,,Within,,,,,,,,,,,
,Female,728,782,864,766,829,1049,869,,,,,,After 30 days,,,,,,,
,,,,,,20,,,,Prescribed Time,,,,,,,,,,,
,,TABLE B-4 2001 : LIVE BIRTHS BY SEX AND MONTH OF OCCURRENCE,,,,,,,,,,Within 30 days,,but Within 1,,After 1 Year,,,,,
Sl.N,,,,,,,,Months,Female,Limit,,,,,,,,,,,
,District,Sex,,,,,,,10,,,,,Year,,,,,,,
o.,,,Jan,Feb,Mar,Apr,May,June,277,Male,Female,Male,Female,Male,Female,Male,Female,,,,
1,2,3,4,5,6,7,8,9,31,11,12,13,14,15,16,17,18,,,,
,,Total,1480,1557,1722,1514,1737,2149,51,14975,15568,882,950,3238,3716,253,175,,,,
9,DHARWAD,Male,1531,1639,1726,1449,2005,1626,28,7656,7558,436,404,936,806,46,54,,,,
,,Female,1340,1473,1456,1623,1827,1942,37,6656,6936,174,121,532,406,78,54,,,,
,,Total,2871,3112,3182,3072,3832,3568,59,2947,2663,1471,1289,3517,3219,56,80,,,,
10,UTTARA KANNADA,Male,1260,1314,1447,1083,1392,1308,34,1485,1572,998,867,2732,2588,100,70,,,,
,,Female,1488,1255,1232,1200,1270,1242,31,3374,3221,817,898,998,895,46,42,,,,
,,Total,2748,2569,2679,2283,2662,2550,69,1162,1024,370,272,463,311,16,22,,,,
11,HAVERI,Male,1342,1497,1646,1487,1515,1623,280,4542,4713,119,106,278,302,139,118,,,,
,,Female,1280,1394,1448,1384,1319,1552,87,12291,12362,583,554,536,513,197,117,,,,
,,Total,2622,2891,3094,2871,2834,3175,40,8515,8767,146,134,156,176,169,156,,,,
12,BELLARY,Male,1965,1803,1980,1646,1750,1885,53,4355,4028,119,120,251,224,158,118,,,,
,,Female,1778,1688,1700,1599,1731,1846,31,6570,6213,499,541,568,597,414,372,,,,
,,Total,3743,3491,3680,3245,3481,3731,361,5194,5234,1112,1152,541,660,104,85,,,,
13,CHITRADURGA,Male,1376,1231,1512,1182,1470,1568,194,3777,3558,840,823,3108,3147,74,86,,,,
,,Female,1495,1132,1560,1294,1418,1622,117,6155,5722,759,758,3883,3619,170,159,,,,
,,Total,2871,2363,3072,2476,2888,3190,189,7547,7324,93,112,90,72,98,148,,,,
14,DAVANAGERE,Male,1495,1224,1362,1399,1392,1383,26,4377,4234,931,847,899,849,155,140,,,,
,,Female,1454,1330,1375,1418,1203,1368,33,7680,7589,687,675,559,645,177,160,,,,
,,Total,2949,2554,2737,2817,2595,2751,50,6712,5330,2049,1610,2223,1794,23,22,,,,
15,SHIMOGA,Male,999,969,1473,1709,1523,1524,57,44486,51187,684,705,1782,1787,278,230,,,,
,,Female,939,865,1408,1610,1439,1473,71,6296,6829,907,811,1149,972,44,56,,,,
,,Total,1938,1834,2881,3319,2962,2997,254,3374,3292,1019,925,2166,1827,27,20,,,,
16,UDUPI,Male,869,878,1171,1079,1114,1005,66,4950,5147,1666,1630,1244,1246,93,148,,,,
,,,,,,,21,,30,12999,12882,152,150,151,148,147,143,,,,
,,TABLE B-4 2001 : LIVE BIRTHS BY SEX AND MONTH OF OCCURRENCE,,,,,,,41,3547,2876,642,437,279,237,47,49,,,,
Sl.N,,,,,,,,Months,2597,12164,11659,552,532,1173,1109,76,67,,,,
,District,Sex,,,,,,,,2874,2603,261,224,178,163,37,26,,,,
o.,,,Jan,Feb,Mar,Apr,May,June,,206660,210091,18968,17647,33630,32028,3222,2917,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,
,,Female,856,888,1132,1169,1106,923,,,,,,,,,,,,,
,,Total,1725,1766,2303,2248,2220,1928,Aug,,,,,,,,,,,,
17,CHIKMAGALUR,Male,997,1057,1000,1105,1131,1145,10,,,,,Total,,,,,,,
,,Female,940,1015,920,1055,896,1042,3974,Sept,Oct,Nov,Dec,,,,,,,,
,,Total,1937,2072,1920,2160,2027,2187,3903,11,12,13,14,15,16,,,,,,
18,TUMKUR,Male,1765,1516,1988,2102,1832,2374,8158,4255,3891,4015,4085,3836,45565,,,,,,
,,Female,1766,2129,2136,1703,1722,2154,1636,3826,3935,3609,3717,42923,,,,,,,
,,Total,3531,3645,4124,3805,3554,4528,1585,7717,7950,7694,7553,88488,,,,,,,
19,KOLAR,Male,1789,1865,1896,1772,1902,2015,3326,1741,1604,1808,1781,1424,18516,,,,,,
,,Female,1680,1664,1651,1610,1629,1856,1617,1554,1719,1755,1387,17808,,,,,,,
,,Total,3469,3529,3547,3382,3531,3871,2043,3158,3527,3536,2811,36324,,,,,,,
20,BANGALORE (U),Male,4389,4048,5217,4407,4884,3217,3951,1908,2000,1713,1663,1636,19081,,,,,,
,,Female,6400,4673,5583,4564,4880,3850,1948,1755,1971,1647,1430,17716,,,,,,,
,,Total,10789,8721,10800,8971,9764,7067,2137,3755,3684,3310,3066,36797,,,,,,,
21,BANGALORE (R),Male,1466,1438,1224,1623,1350,1419,4484,2347,3016,2388,1956,2048,23712,,,,,,
,,Female,1527,1274,1452,1577,1143,1366,1359,2764,2194,1750,1902,21994,,,,,,,
,,Total,2993,2712,2676,3200,2493,2785,1055,5780,4582,3706,3950,45706,,,,,,,
22,MANDYA,Male,1351,1130,1083,1235,1286,1366,2262,1207,1274,1252,1061,1352,13710,,,,,,
,,Female,1318,1093,1367,1265,1292,1322,1097,1238,1124,1047,1229,12717,,,,,,,
,,Total,2669,2223,2450,2500,2578,2688,1574,2512,2376,2108,2581,26427,,,,,,,
23,HASSAN,Male,1297,1314,1456,1246,1263,1272,3028,1454,1560,1177,1413,1556,15929,,,,,,
,,Female,1416,1153,1619,1190,1469,1311,830,1257,1105,1303,1566,14671,,,,,,,
,,Total,2713,2467,3075,2436,2732,2583,870,2817,2282,2716,3122,30600,,,,,,,
,,,,,,,22,,1889,1019,1293,1302,1130,916,13229,,,,,,
,,TABLE B-4 2001 : LIVE BIRTHS BY SEX AND MONTH OF OCCURRENCE,,,,,,,930,968,1172,979,695,11272,,,,,,,
Sl.N,,,,,,,,Months,1048,2261,2474,2109,1611,24501,,,,,,,
,District,Sex,,,,,,,,1004,988,1001,970,972,11006,,,,,,
o.,,,Jan,Feb,Mar,Apr,May,June,,1000,1037,1055,932,10959,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,
24,DAKSHINA KANNADA,Male,1795,1743,1928,1687,2013,1876,,,,,,,,,,,,,
,,Female,1859,1675,1882,1712,2132,1953,July,,,,,,,,,,,,
,,Total,3654,3418,3810,3399,4145,3829,10,,,,,,Total,,,,,,
25,KODAGU,Male,594,669,628,584,519,535,1799,Aug,Sept,Oct,Nov,Dec,,,,,,,
,,Female,477,459,513,450,425,413,1734,11,12,13,14,15,16,,,,,,
,,Total,1071,1128,1141,1034,944,948,1406,2052,1988,2038,2025,1904,21965,,,,,,
26,MYSORE,Male,1777,2577,2445,2128,1816,1838,3140,1985,1666,1363,1883,1848,20455,,,,,,
,,Female,2067,2314,2311,2067,1755,1980,1395,1967,1588,1580,1446,1644,19292,,,,,,
,,Total,3844,4891,4756,4195,3571,3818,1335,3952,3254,2943,3329,3492,39747,,,,,,
27,CHAMARAJANAGARA,Male,631,588,799,764,779,751,2730,1215,1211,1127,1224,1259,15235,,,,,,
,,Female,675,639,999,669,760,767,1708,1107,1202,1174,1241,1258,15004,,,,,,
,,Total,1306,1227,1798,1433,1539,1518,1435,2322,2413,2301,2465,2517,30239,,,,,,
28,STATE TOTAL,Male,40313,40049,44563,41532,43619,43787,3143,1553,1551,1539,1529,1361,18351,,,,,,
,,Female,41746,38726,43684,39802,40753,43135,1855,1438,1325,1435,1360,1284,16654,,,,,,
,,Total,82059,78775,88247,81334,84372,86922,1670,2991,2876,2974,2889,2645,35005,,,,,,
,,,,,,,23,,3525,1804,1854,1721,1954,1987,22204,,,,,,
,,TABLE B-5 2001 : LIVE BIRTHS BY TYPE OF ATTENTION AT DELIVERY (RURAL & URBAN),,,,,,,1368,1928,1626,1736,1758,1773,20833,,,,,,
,,,Type of Attention at Delivery,,,,,,1361,3732,3480,3457,3712,3760,43037,,,,,,
,,Institutional,,,,,,,2729,1327,1241,1207,1392,1142,16016,,,,,,
Sl.No.,Rural/Urban,"Doctor, Nurse &",,,Traditional Birth,,,,1307,1291,1081,1304,1246,1100,15904,,,,,,
,,,,Relatives & Others,,Not Stated,Total,,1244,2618,2322,2511,2638,2242,31920,,,,,,
,,,Trained Midwife,Attendant,,,,,2551,1302,1595,1660,1638,1463,17220,,,,,,
,,Private & Non-,,,,,,,1604,1283,1465,1619,1609,1414,16782,,,,,,
,,Govt.,Govt.,,,,,,1662,2585,3060,3279,3247,2877,34002,,,,,,
,1,2,3,4,5,6,7,8,3266,1447,1524,1321,1137,1918,17148,,,,,,
,RURAL,75006,45665,185238,117878,59991,8283,492061,1112,1340,1440,1116,1033,1757,16082,,,,,,
,URBAN,,,,,,,,,2787,2964,2437,2170,3675,33230,,,,,,
,TOWNS WITH ONE LAKH POPULATION AND ABOVE,,,,,,,,,899,1184,1259,848,851,12269,,,,,,
1,Belgaum CC,4489,6431,2516,77,117,637,14267,,,,,,,,,,,,,
2,Bijapur CMC,3747,3610,2001,181,71,156,9766,,,,,,,,,,,,,
3,Gulbarga CC,2903,6921,2473,225,118,72,12712,July,,,,,,,,,,,,
4,Bidar CMC,1079,2397,1579,54,79,382,5570,10,,,,,,Total,,,,,,
5,Raichur CMC,1655,1075,2218,111,148,12,5219,972,Aug,Sept,Oct,Nov,Dec,,,,,,,
6,Gadag-Betigeri CMC,2131,1934,1036,229,395,0,5725,2084,11,12,13,14,15,16,,,,,,
7,Hubli-Dharwad CC,6886,6447,7575,310,354,7,21579,1015,908,1064,1262,1037,998,12315,,,,,,
8,Hospet CMC,845,882,444,90,219,94,2574,1040,1807,2248,2521,1885,1849,24584,,,,,,
9,Bellary CMC,4158,3056,911,749,808,45,9727,2055,1076,866,844,985,763,11984,,,,,,
10,Chitradurga CMC,3001,1058,1206,52,32,0,5349,2044,886,863,770,886,740,11053,,,,,,
11,Davangere CMC,4354,5451,872,88,36,145,10946,2250,1962,1729,1614,1871,1503,23037,,,,,,
12,Shimoga CMC,5193,3786,2407,113,65,130,11694,4294,2652,1812,1666,2305,2172,24228,,,,,,
13,Bhadravathi CMC,598,911,2548,10,19,39,4125,1980,2194,1824,1404,2215,2101,23598,,,,,,
14,Udupi CMC,1097,3801,1083,12,20,0,6013,1930,4846,3636,3070,4520,4273,47826,,,,,,
15,Chickmagalur CMC,2112,1011,765,13,43,2,3946,3910,1937,1698,1791,1918,1701,22264,,,,,,
16,Tumkur CMC,3196,4448,1638,70,169,0,9521,4119,1660,1641,1649,1825,1583,20378,,,,,,
17,Kolar CMC,700,2380,2039,30,12,47,5208,4304,3597,3339,3440,3743,3284,42642,,,,,,
18,Robertsonpet CMC,2178,1280,403,28,52,118,4059,8423,3545,2799,4753,5698,3132,50208,,,,,,
19,Bangalore CC,41246,37551,7207,324,168,1178,87674,1483,4091,3087,5635,5630,4417,57114,,,,,,
20,Dasarahalli CMC,129,516,418,54,303,33,1453,1345,7636,5886,10388,11328,7549,107322,,,,,,
21,Byatarayanapura CMC,133,274,215,38,28,33,721,2828,1353,1239,1483,1304,1209,16591,,,,,,
22,Krishnarajapura CMC,962,778,186,47,159,13,2145,1560,1486,1029,1608,1137,1001,15945,,,,,,
23,Mahadevapur CMC,0,1757,2,0,0,78,1837,1426,2839,2268,3091,2441,2210,32536,,,,,,
24,Bommanahalli CMC,121,604,465,120,42,29,1381,2986,1098,1223,1185,1065,1020,14602,,,,,,
25,Mandya CMC,3218,2472,785,51,18,19,6563,1162,982,1218,1145,1060,1053,14541,,,,,,
26,Hassan CMC,4519,2487,402,11,10,3,7432,1382,2080,2441,2330,2125,2073,29143,,,,,,
27,Mangalore CC,5423,5672,2523,98,46,8,13770,2544,1303,974,1177,1518,1341,15323,,,,,,
28,Mysore CC,9887,6599,1944,56,74,40,18600,,1282,1134,1174,1511,1357,15998,,,,,,
29,ALL OTHER URBAN AREAS,100600,66609,50278,9306,6960,1834,235587,,2585,2108,2351,3029,2698,31321,,,,,,
,URBAN TOTAL,216560,182198,98139,12547,10565,5154,525163,,,,,,,,,,,,,
,STATE TOTAL,291566,227863,283377,130425,70556,13437,1017224,,,,,,,,,,,,,
,,,24,,,,,,July,,,,,,,,,,,,
TABLE B-6 2001 : LIVE BIRTHS BY METHOD OF DELIVERY AND TYPE OF INSTITUTION FOR INSTITUTIONAL BIRTHS,,,,,,,,,10,,,,,,Total,,,,,,
,,,(RURAL & URBAN),,,,,,1875,Aug,Sept,Oct,Nov,Dec,,,,,,,
,,,,Type of Institution,,,,,1734,11,12,13,14,15,16,,,,,,
Method of Delivery,,,,,,,,,3609,1638,1566,1971,1929,1633,21654,,,,,,
,Government Hospital,,,Private & Non-Government,,,,Total,467,1533,1636,1902,2023,1677,21718,,,,,,
,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,382,3171,3202,3873,3952,3310,43372,,,,,,
1,2,3,4,5,6,7,8,9,849,479,414,424,475,586,6374,,,,,,
Natural,69872,194673,264545,39565,142496,182061,109437,337169,2263,324,367,381,377,418,4986,,,,,,
Caesarean,3301,18019,21320,4466,31971,36437,7767,49990,2351,803,781,805,852,1004,11360,,,,,,
Forceps/Vaccum,1824,3868,5692,1631,5974,7605,3455,9842,4614,1930,1519,2026,1747,2132,24198,,,,,,
Not Stated,9,0,9,3,1757,1760,12,1757,941,1973,1661,2114,1726,1972,24291,,,,,,
State Total,75006,216560,291566,45665,182198,227863,120671,398758,766,3903,3180,4140,3473,4104,48489,,,,,,
,,,,,25,,,,1707,646,800,764,716,752,8931,,,,,,
,TABLE B-7 2001: LIVE BIRTHS BY AGE OF THE MOTHER BIRTH ORDER,,,,,,(RURAL & URBAN),,44383,627,667,773,682,649,8673,,,,,,
,,,,,BIRTH ORDER,,,,42541,1273,1467,1537,1398,1401,17604,,,,,,
Age of Mother,,,,,,,,,86924,44124,42362,43937,45324,42010,516003,,,,,,
,1,2,3,4,5,6,7,8,,42515,40280,44038,42947,41054,501221,,,,,,
,,,,,,,,,,86639,82642,87975,88271,83064,1017224,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,
ALL AREAS,,,,,,,,,,,,,,,,,,,,,
Below 15,17,0,0,0,0,0,0,0,,,,,,,,,,,,,
15 - 19,67306,739,8,0,0,0,0,0,,,,,,,,,,,,,
20 - 24,290979,190973,31961,3641,316,0,0,0,,,,,,,,,,,,,
25 - 29,70729,132283,84030,27343,6632,1546,427,0,,,,,,,,,,,,,
30 - 34,12246,22782,21534,12423,7214,2799,992,449,,,,,,,,,,,,,
35 - 39,2689,4831,4360,3547,2987,1831,979,663,,,,,,,,,,,,,
40 - 44,626,436,352,414,360,295,171,161,,,,,,,,,,,,,
45 & above,193,361,236,160,144,74,47,76,,,,,,,,,,,,,
Age not Stated,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Total,444785,352405,142481,47528,17653,6545,2616,1349,,,,,,,,,,,,,
URBAN AREAS,,,,,,,,,,,,,,,,,,,,,
Below 15,8,0,0,0,0,0,0,0,,,,,,,,,,,,,
15 - 19,41115,523,6,0,0,0,0,0,,,,,,,,,,,,,
20 - 24,156188,84925,13445,1502,121,0,0,0,,,,,,,,,,,,,
25 - 29,50824,70839,33503,8967,2071,447,126,0,,,,,,,,,,,,,
30 - 34,9664,16276,11847,4947,2486,755,234,122,,,,,,,,,,,,,
35 - 39,2066,3441,2513,1586,1081,565,238,159,,,,,,,,,,,,,
40 - 44,317,305,173,190,150,74,38,33,,,,,,,,,,,,,
45 & above,97,184,118,78,54,19,6,11,,,,,,,,,,,,,
Age not Stated,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Total,260279,176493,61605,17270,5963,1860,642,325,,,,,,,,,,,,,
RURAL AREAS,,,,,,,,,,,,,,,,,,,,,
Below 15,9,0,0,0,0,0,0,0,,,,,,,,,,,,,
15 - 19,26191,216,2,0,0,0,0,0,,,,,,,,,,,,,
20 - 24,134791,106048,18516,2139,195,0,0,0,,,,,,,,,,,,,
25 - 29,19905,61444,50527,18376,4561,1099,301,0,,,,,,,,,,,,,
30 - 34,2582,6506,9687,7476,4728,2044,758,327,,,,,,,,,,,,,
35 - 39,623,1390,1847,1961,1906,1266,741,504,,,,,,,,,,,,,
40 - 44,309,131,179,224,210,221,133,128,,,,,,,,,,,,,
45 & above,96,177,118,82,90,55,41,65,,,,,,,,,,,,,
Age not Stated,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Total,184506,175912,80876,30258,11690,4685,1974,1024,,,,,,,,,,,,,
,,,,,,26,,,,,,,,,,,,,,,
TABLE B-8 2001 : LIVE BIRTHS BY BIRTH ORDER,,,,AND AGE OF THE MOTHER FOR TOWNS,,,,,,,,,,,,,,,,,
,WITH POPULATION ONE LAKH AND ABOVE,,,,,,,,,,,,,,,,,,,,
,,,,BIRTH ORDER,,,,,,,,,,,,,,,,,
Age of Mother,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,
Belgaum CC,,,,,,,,,,,,,,,,,,,,,
Below 15,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
15 - 19,1059,8,0,0,0,0,0,0,,,,,,,,,,,,,
20 - 24,3751,2590,500,60,3,0,0,0,,,,,,,,,,,,,
25 - 29,1338,1920,1244,252,44,12,7,,,,,,,,,,,,,,
30 - 34,187,402,357,144,51,13,0,4,,,,,,,,,,,,,
35 - 39,24,70,70,52,26,14,0,0,Total,,,,,,,,,,,,
40 - 44,8,12,6,2,7,3,0,0,10,,,,,,,,,,,,
45 & above,9,7,5,1,1,0,0,0,446606,,,,,,,,,,,,
Age not Stated,0,0,0,0,0,0,0,0,57757,,,,,,,,,,,,
Total,6376,5009,2182,511,132,42,7,4,13297,,,,,,,,,,,,
Bijapur CMC,,,,,,,,,1769,,,,,,,,,,,,
Below 15,1,0,0,0,0,0,0,0,519429,,,,,,,,,,,,
15 - 19,733,8,0,0,0,0,0,0,,,,,,,,,,,,,
20 - 24,2920,1459,262,39,3,0,0,0,,,,,,,,,,,,,
25 - 29,637,1355,819,309,65,13,4,0,,,,,,,,,,,,,
30 - 34,130,245,223,190,72,28,11,4,,,,,,,,,,,,,
35 - 39,28,55,39,44,29,11,4,0,9,,,,,,,,,,,,
40 - 44,5,1,2,4,2,2,1,0,,,,13 &,Not,,Total,,,,,,
45 & above,1,1,0,1,1,0,0,0,10,10,11,12,,,,,,,,,
Age not Stated,0,0,0,0,0,0,0,0,,,,Above,Stated,,,,,,,,
Total,4455,3124,1345,587,172,54,20,4,0,11,12,13,14,15,16,,,,,,
Gulbarga CC,,,,,,,,,0,,,,,,,,,,,,
Below 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,,,,,,
15 - 19,745,5,0,0,0,0,0,0,0,0,0,0,0,0,68053,,,,,,
20 - 24,3652,1399,322,58,4,0,0,0,193,0,0,0,0,0,517870,,,,,,
25 - 29,1323,1518,957,429,122,33,11,0,365,0,0,0,0,0,322990,,,,,,
30 - 34,244,351,420,237,127,49,25,13,91,668,6,0,0,0,81306,,,,,,
35 - 39,51,57,64,84,60,22,23,17,43,255,35,20,12,0,22574,,,,,,
40 - 44,4,9,10,5,5,1,3,1,0,83,16,11,8,0,3024,,,,,,
45 & above,2,10,1,5,8,0,2,0,692,42,4,6,4,0,1390,,,,,,
Age not Stated,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Total,6021,3349,1774,818,326,105,64,31,0,1048,61,37,24,0,1017224,,,,,,
Bidar CMC,,,,,,,,,0,,,,,,,,,,,,
Below 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,
15 - 19,412,7,0,0,0,0,0,0,0,0,0,0,0,0,41644,,,,,,
20 - 24,1421,848,192,26,4,0,0,0,62,0,0,0,0,0,256181,,,,,,
25 - 29,452,718,473,153,50,9,1,0,71,0,0,0,0,0,166777,,,,,,
30 - 34,70,131,199,112,69,15,3,4,18,383,3,0,0,0,46779,,,,,,
35 - 39,13,25,33,34,33,7,4,2,15,104,14,6,3,0,11847,,,,,,
40 - 44,3,3,2,4,2,2,0,0,0,24,3,0,3,0,1328,,,,,,
45 & above,8,6,0,0,2,1,0,1,166,14,2,1,0,0,599,,,,,,
Age not Stated,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Total,2379,1738,899,329,160,34,8,7,0,525,22,7,6,0,525163,,,,,,
Raichur CMC,,,,,,,,,0,,,,,,,,,,,,
,,,,,27,,,,0,0,0,0,0,0,9,,,,,,
TABLE B-8 2001 : LIVE BIRTHS BY BIRTH ORDER,,,,AND AGE OF THE MOTHER FOR TOWNS,,,,,0,0,0,0,0,0,26409,,,,,,
,WITH POPULATION ONE LAKH AND ABOVE,,,,,,,,131,0,0,0,0,0,261689,,,,,,
,,,,BIRTH ORDER,,,,,294,0,0,0,0,0,156213,,,,,,
Age of Mother,,,,,,,,,73,285,3,0,0,0,34527,,,,,,
,1,2,3,4,5,6,7,8,28,151,21,14,9,0,10727,,,,,,
,,,,,,,,,0,59,13,11,5,0,1696,,,,,,
1,2,3,4,5,6,7,8,9,526,28,2,5,4,0,791,,,,,,
Below 15,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
15 - 19,337,1,0,0,0,0,0,0,,523,39,30,18,0,492061,,,,,,
20 - 24,1512,599,116,27,1,0,0,0,,,,,,,,,,,,,
25 - 29,652,633,337,132,40,16,3,0,,,,,,,,,,,,,
30 - 34,147,106,159,89,55,22,6,1,,,,,,,,,,,,,
35 - 39,24,34,35,38,13,6,11,1,9,,,,,,,,,,,,
40 - 44,0,4,5,3,6,4,1,0,,,,13 &,Not,,Total,,,,,,
45 & above,2,4,4,2,0,0,0,0,10,10,11,12,,,,,,,,,
Age not Stated,0,0,0,0,0,0,0,0,,,,Above,Stated,,,,,,,,
Total,2674,1381,656,291,115,48,21,2,0,11,12,13,14,15,16,,,,,,
Gadag-Betigeri CMC,,,,,,,,,0,,,,,,,,,,,,
Below 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
15 - 19,245,1,0,0,0,0,0,0,0,0,0,0,0,0,1067,,,,,,
20 - 24,1801,843,179,14,0,0,0,0,1,0,0,0,0,0,6904,,,,,,
25 - 29,512,757,507,116,30,6,3,0,0,0,0,0,0,0,4817,,,,,,
30 - 34,84,160,167,85,32,6,2,4,0,2,0,0,0,0,1161,,,,,,
35 - 39,21,34,39,26,9,10,4,1,1,0,0,0,0,0,256,,,,,,
40 - 44,1,4,1,2,2,2,0,2,0,0,0,0,0,0,38,,,,,,
45 & above,3,0,1,2,1,0,0,0,2,0,0,0,0,0,24,,,,,,
Age not Stated,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Total,2667,1799,894,245,74,24,9,7,0,2,0,0,0,0,14267,,,,,,
Hubli-Dharwad CC,,,,,,,,,0,,,,,,,,,,,,
Below 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,
15 - 19,1477,19,0,0,0,0,0,0,0,0,0,0,0,0,741,,,,,,
20 - 24,6576,3648,609,76,3,0,0,0,1,0,0,0,0,0,4683,,,,,,
25 - 29,2071,2702,1440,501,89,21,4,0,2,0,0,0,0,0,3202,,,,,,
30 - 34,396,722,421,193,92,33,3,1,0,0,0,0,0,0,904,,,,,,
35 - 39,82,157,89,52,18,12,6,1,0,1,0,0,0,0,213,,,,,,
40 - 44,17,12,10,7,2,0,0,1,0,0,0,0,0,0,17,,,,,,
45 & above,5,5,3,1,1,0,0,0,3,1,0,0,0,0,5,,,,,,
Age not Stated,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Total,10624,7265,2572,830,205,66,13,3,0,2,0,0,0,0,9766,,,,,,
Hospet CMC,,,,,,,,,0,,,,,,,,,,,,
Below 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
15 - 19,114,0,0,0,0,0,0,0,0,0,0,0,0,0,750,,,,,,
20 - 24,751,463,53,11,5,0,0,0,10,0,0,0,0,0,5435,,,,,,
25 - 29,259,400,125,41,7,2,0,0,5,0,0,0,0,0,4393,,,,,,
30 - 34,47,86,103,13,6,1,1,0,2,144,0,0,0,0,1620,,,,,,
35 - 39,20,14,23,3,11,4,0,0,0,46,0,0,0,0,429,,,,,,
40 - 44,0,1,0,1,2,1,0,0,0,14,0,0,0,0,54,,,,,,
45 & above,1,1,0,0,0,0,0,0,17,3,0,0,0,0,31,,,,,,
Age not Stated,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Total,1192,965,304,69,31,8,1,0,0,207,0,0,0,0,12712,,,,,,
Bellary CMC,,,,,,,,,0,,,,,,,,,,,,
Below 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
,,,,,28,,,,0,0,0,0,0,0,419,,,,,,
TABLE B-8 2001 : LIVE BIRTHS BY BIRTH ORDER,,,,AND AGE OF THE MOTHER FOR TOWNS,,,,,4,0,0,0,0,0,2491,,,,,,
,WITH POPULATION ONE LAKH AND ABOVE,,,,,,,,1,0,0,0,0,0,1856,,,,,,
,,,,BIRTH ORDER,,,,,0,7,0,0,0,0,614,,,,,,
Age of Mother,,,,,,,,,0,2,0,0,0,0,154,,,,,,
,1,2,3,4,5,6,7,8,0,2,0,0,0,0,18,,,,,,
,,,,,,,,,5,0,0,0,0,0,18,,,,,,
1,2,3,4,5,6,7,8,9,,0,0,0,0,0,0,,,,,,
15 - 19,855,35,0,0,0,0,0,0,,11,0,0,0,0,5570,,,,,,
20 - 24,2843,1629,237,25,4,0,0,0,,,,,,,,,,,,,
25 - 29,933,1401,617,158,38,4,1,0,,,,,,,,,,,,,
30 - 34,188,247,180,58,43,4,3,3,,,,,,,,,,,,,
35 - 39,33,63,35,26,13,4,1,3,,,,,,,,,,,,,
40 - 44,6,7,5,3,0,0,0,0,9,,,,,,,,,,,,
45 & above,3,9,3,2,0,0,0,1,,,,13 &,Not,,Total,,,,,,
Age not Stated,0,0,0,0,0,0,0,0,10,10,11,12,,,,,,,,,
Total,4861,3391,1077,272,98,12,5,7,0,,,Above,Stated,,,,,,,,
Chitradurga CMC,,,,,,,,,0,11,12,13,14,15,16,,,,,,
Below 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
15 - 19,335,4,0,0,0,0,0,0,0,0,0,0,0,0,338,,,,,,
20 - 24,1666,764,76,1,0,0,0,0,3,0,0,0,0,0,2255,,,,,,
25 - 29,694,805,238,57,12,1,0,0,5,0,0,0,0,0,1813,,,,,,
30 - 34,146,209,123,53,18,5,2,0,0,21,0,0,0,0,609,,,,,,
